WN_30_id	UKC_local_concept_id
00067767-a	74153
00067966-a	74154
00068180-a	74155
00068278-a	74156
00068566-a	74157
00068738-a	74158
00068883-a	74159
00069060-a	74160
00069217-a	74161
00069427-a	74162
00069531-a	74163
00069948-a	74164
00070111-a	74166
00070288-a	74167
00070427-a	74168
00070583-a	74169
00070839-a	74170
00070939-a	74171
00071142-a	74172
00071242-a	74173
00071427-a	74174
00071559-a	74175
00071739-a	74176
00071897-a	74177
00071992-a	74178
00072281-a	74179
00072436-a	74180
00072673-a	74181
00072790-a	74182
00073048-a	74183
00073358-a	74184
00073465-a	74185
00073761-a	74186
00073935-a	74187
00074094-a	74188
00074216-a	74189
00074346-a	74190
00074594-a	74191
00074741-a	74192
00074867-a	74193
00075019-a	74194
00075135-a	74195
00075389-a	74196
00075515-a	74197
00075737-a	74199
00075952-a	74200
00076127-a	74201
00076341-a	74202
00076580-a	74198
00076739-a	74203
00076921-a	74204
00077059-a	74205
00077196-a	74206
00077354-a	74207
00077449-a	74208
00077645-a	74215
00078329-a	74216
00078463-a	74217
00078576-a	74218
00078705-a	74219
00078851-a	74220
00078942-a	74221
00079069-a	74222
00079262-a	74223
00079356-a	74224
00079485-a	74225
00079629-a	74226
00079786-a	74227
00079896-a	74228
00080098-a	74229
00080213-a	74230
00080357-a	74231
00080698-a	74232
00080861-a	74233
00080981-a	74234
00081087-a	74235
00081234-a	74236
00081417-a	74237
00081513-a	74238
00081671-a	74239
00081930-a	74240
00082034-a	74241
00082160-a	74242
00082241-a	74243
00082766-a	74245
00083003-a	74246
00083296-a	106816
00083478-a	74248
00083749-a	74249
00083876-a	74250
00084022-a	74251
00084353-a	74252
00084661-a	74253
00084795-a	74254
00084956-a	74255
00085139-a	74256
00085264-a	74257
00085630-a	74258
00085870-a	74260
00086005-a	74261
00086210-a	74262
00086341-a	74263
00086606-a	74264
00086801-a	74265
00087022-a	74266
00087152-a	74267
00087354-a	74268
00087597-a	74270
00087837-a	74271
00088055-a	74272
00088157-a	74273
00088328-a	106857
00088545-a	74275
00088658-a	74276
00088792-a	74277
00088899-a	74278
00089051-a	74279
00089355-a	74280
00089550-a	74281
00090219-a	74282
00090408-a	74283
00090628-a	74284
00090718-a	74285
00090917-a	74286
00091121-a	74287
00091311-a	74288
00091764-a	93126
00092136-a	74290
00092275-a	74291
00092391-a	74292
00092551-a	74294
00092691-a	74295
00092848-a	74296
00092933-a	74297
00093108-a	74298
00093275-a	74299
00093433-a	74300
00093556-a	74301
00093810-a	74302
00094069-a	74303
00094239-a	74304
00094324-a	74305
00094448-a	74306
00094799-a	74307
00094941-a	74308
00095094-a	74309
00095280-a	74310
00095873-a	74311
00096072-a	74312
00096239-a	74313
00096414-a	74314
00096595-a	74315
00096815-a	74316
00096913-a	74317
00097022-a	74318
00097147-a	74319
00097305-a	74320
00097452-a	74321
00097577-a	74322
00097674-a	74323
00097768-a	74324
00097906-a	74325
00098043-a	74326
00098147-a	74327
00098307-a	74328
00098450-a	74329
00098529-a	74330
00098736-a	74331
00098933-a	106931
00099097-a	74333
00099290-a	74334
00099590-a	74335
00099704-a	74336
00099874-a	74337
00100213-a	74339
00100373-a	74340
00100506-a	74341
00100634-a	74342
00100881-a	74343
00100989-a	74344
00101152-a	74345
00101331-a	74346
00101452-a	74347
00101609-a	74348
00101800-a	74349
00102079-a	74350
00102201-a	74351
00102578-a	74352
00102786-a	74353
00102930-a	74354
00103196-a	74355
00103302-a	74356
00103447-a	74357
00103567-a	74358
00103696-a	74359
00103953-a	74360
00104051-a	74361
00104318-a	74362
00104533-a	74363
00104699-a	106973
00104825-a	74365
00104942-a	74366
00105023-a	74367
00105197-a	74368
00105388-a	74369
00105566-a	74370
00105746-a	74371
00106020-a	74372
00106182-a	74373
00106277-a	74374
00106456-a	74375
00106821-a	74376
00107017-a	74377
00107128-a	74378
00107250-a	74379
00107384-a	74380
00107648-a	74490
00107868-a	74491
