concept_id,wn30_id,domain
100191,01532329-v,verb.contact
100192,01532434-v,verb.contact
100193,01532589-v,verb.contact
100194,01533166-v,verb.contact
100195,01533324-v,verb.contact
100196,01533442-v,verb.contact
100197,01533715-v,verb.contact
100198,01533851-v,verb.contact
100199,01534043-v,verb.contact
1002,00216607-n,noun.act
10020,01991808-n,noun.animal
100200,01534147-v,verb.contact
100201,01534609-v,verb.contact
100202,01534745-v,verb.contact
100203,01535002-v,verb.contact
100204,01535117-v,verb.contact
100205,01535246-v,verb.contact
100206,01535742-v,verb.contact
100207,01535915-v,verb.contact
100208,01536076-v,verb.contact
100209,01536168-v,verb.contact
10021,01991982-n,noun.animal
100210,01536344-v,verb.contact
100211,01536508-v,verb.contact
100212,01536663-v,verb.contact
100213,01536776-v,verb.contact
100214,01536925-v,verb.contact
100215,01537114-v,verb.contact
100216,01537271-v,verb.contact
100217,01537409-v,verb.contact
100218,01537829-v,verb.contact
100219,01537959-v,verb.contact
10022,01992113-n,noun.animal
100220,01538161-v,verb.contact
100221,01538310-v,verb.contact
100222,01538469-v,verb.contact
100223,01538629-v,verb.contact
100224,01538785-v,verb.contact
100225,01538928-v,verb.contact
100226,01539063-v,verb.contact
100227,01539487-v,verb.contact
100228,01539633-v,verb.contact
100229,01539913-v,verb.contact
10023,01992262-n,noun.animal
100230,01540042-v,verb.contact
100231,01540232-v,verb.contact
100232,01540449-v,verb.contact
100233,01540693-v,verb.contact
100234,01540844-v,verb.contact
100235,01541000-v,verb.contact
100236,01541231-v,verb.contact
100237,01541467-v,verb.contact
100238,01541579-v,verb.contact
100239,00429642-v,verb.change
10024,01992423-n,noun.animal
100240,01542056-v,verb.contact
100241,01542207-v,verb.contact
100242,01542525-v,verb.contact
100243,01542668-v,verb.contact
100244,01542842-v,verb.contact
100245,01543000-v,verb.contact
100246,01543123-v,verb.contact
100247,01543426-v,verb.contact
100248,01543626-v,verb.contact
100249,01543731-v,verb.contact
10025,01992516-n,noun.animal
100250,01543998-v,verb.contact
100251,01544445-v,verb.contact
100252,01544558-v,verb.contact
100253,01544692-v,verb.contact
100254,01545079-v,verb.contact
100255,01545208-v,verb.contact
100256,01545314-v,verb.contact
100257,01545649-v,verb.contact
100258,01545883-v,verb.contact
100259,01546111-v,verb.contact
10026,01992773-n,noun.animal
100260,01546513-v,verb.contact
100261,01546633-v,verb.contact
100262,01546768-v,verb.contact
100263,01547001-v,verb.contact
100264,01547390-v,verb.contact
100265,01547641-v,verb.contact
100266,01547797-v,verb.contact
100267,01547925-v,verb.contact
100268,01548072-v,verb.contact
100269,01548181-v,verb.contact
10027,01992935-n,noun.animal
100270,01548290-v,verb.contact
100271,01548447-v,verb.contact
100272,01548576-v,verb.contact
100273,01548718-v,verb.contact
100274,01549057-v,verb.contact
100275,01549187-v,verb.contact
100276,01549420-v,verb.contact
100277,01549719-v,verb.contact
100278,01549905-v,verb.contact
100279,01550220-v,verb.contact
10028,01993065-n,noun.animal
100280,01550403-v,verb.contact
100281,01550594-v,verb.contact
100282,01550817-v,verb.contact
100283,01550949-v,verb.contact
100284,01551092-v,verb.contact
100285,01551195-v,verb.contact
100286,01551530-v,verb.contact
100287,01551679-v,verb.contact
100288,01551871-v,verb.contact
100289,01552219-v,verb.contact
10029,01993214-n,noun.animal
100290,01552390-v,verb.contact
100291,01552519-v,verb.contact
100292,01553761-v,verb.contact
100293,01553869-v,verb.contact
100294,01553987-v,verb.contact
100295,01554165-v,verb.contact
100296,01554318-v,verb.contact
100297,01554519-v,verb.contact
100298,01554622-v,verb.contact
100299,01554799-v,verb.contact
1003,00216723-n,noun.act
10030,01993400-n,noun.animal
100300,01555034-v,verb.contact
100301,01555193-v,verb.contact
100302,01555326-v,verb.contact
100303,01555437-v,verb.contact
100304,01555648-v,verb.contact
100305,01555742-v,verb.contact
100306,01556037-v,verb.contact
100307,01556178-v,verb.contact
100308,01556346-v,verb.contact
100309,01556572-v,verb.contact
10031,01993525-n,noun.animal
100310,01556921-v,verb.contact
100311,01557426-v,verb.contact
100312,01557517-v,verb.contact
100313,01557646-v,verb.contact
100314,01557774-v,verb.contact
100315,01558218-v,verb.contact
100316,01558440-v,verb.contact
100317,01558582-v,verb.contact
100318,01558681-v,verb.contact
100319,01558883-v,verb.contact
10032,01993714-n,noun.animal
100320,01559055-v,verb.contact
100321,01559230-v,verb.contact
100322,01492907-a,adj.all
100323,01559473-v,verb.contact
100324,01559590-v,verb.contact
100325,01559767-v,verb.contact
100326,01559868-v,verb.contact
100327,01560034-v,verb.contact
100328,01560184-v,verb.contact
100329,01560369-v,verb.contact
10033,01993830-n,noun.animal
100330,01560583-v,verb.contact
100331,01560731-v,verb.contact
100332,01560984-v,verb.contact
100333,01561143-v,verb.contact
100334,01561408-v,verb.contact
100335,01561583-v,verb.contact
100336,01561713-v,verb.contact
100337,01561819-v,verb.contact
100338,01562061-v,verb.contact
100339,01562209-v,verb.contact
10034,01993949-n,noun.animal
100340,01562627-v,verb.contact
100341,01562733-v,verb.contact
100342,01562891-v,verb.contact
100343,01563005-v,verb.contact
100344,01563336-v,verb.contact
