concept_id,wn30_id,english,urdu,darija,nepali,vietnamese,domain
46006,09246464-n,cliff | drop | drop-off,کھڑی چٹان,,चट्टान | ठाडोभीर | भीर,vách đá,noun.object
18067,03388183-n,fountain pen,پھاون ٹین پین,,फाउन्टेन पेन,bút máy,noun.artifact
10826,02128757-n,ounce | panthera uncia | snow leopard,برفانی چیتا,,हिम तेंदुए,báo tuyết,noun.animal
21565,03991062-n,flowerpot | pot,گملا,,गमला,chậu | hoa,noun.artifact
14739,02814860-n,beacon | beacon light | lighthouse | pharos,خاص طور سے | روشنی گھر | منارہ | وہ اونچی عمارت,,द्वीप घर | प्रकाश गृह | प्रकाशस्तम्भ,hải đăng,noun.artifact
22343,04125021-n,safe,تجوری | سیف | لوہےکی الماری جس میںزرواموال اورقیمتی چیزی حفاظت کےلئے رکھی جائیں,,बाकस | सन्दुक,két sắt | tủ sắt,noun.artifact
14860,02834778-n,bicycle | bike | cycle | wheel,سائیکل,,बाइस्कल | साइकल | साइकिल,,noun.artifact
15393,02924116-n,autobus | bus | charabanc | coach | double-decker | jitney | motorbus | motorcoach | omnibus | passenger vehicle,بس,,बस,,noun.artifact
15601,02958343-n,auto | automobile | car | machine | motorcar,کار | گاڑی,,,,noun.artifact
24499,04490091-n,motortruck | truck,ٹرک,,ट्रक | लोहोरी,,noun.artifact
12495,02416519-n,caprine animal | goat,بکری,,,,noun.animal
12236,02374451-n,equus caballus | horse,اسپ | گھوڑا,,अश्‍व | घोडा,,noun.animal
12461,02411705-n,sheep,بھیڑ,,भेडो,,noun.animal
9241,01846331-n,duck,بتخ,,हाँस,,noun.animal
9064,01816887-n,parrot,طوطا | طوطی,,,,noun.animal
9033,01811909-n,pigeon,کبوتر,,कवुतर | परेवा,,noun.animal
40912,07693972-n,biscuit,بسکٹ,,बिस्कुट,,noun.food
18371,03441112-n,glove,دستانا,,पञ्जा | हातमोजा,,noun.artifact
60197,12761284-n,mangifera indica | mango | mango tree,ام,,,,noun.plant
28700,05311054-n,eye | oculus | optic,آنکھ | چشم | نین,,आँखा | नयन | नेत्र,,noun.body
14496,02774152-n,bag | handbag | pocketbook | purse,پرس,,थैली | पर्स,bóp | ví | ví tiền,noun.artifact
