source,target,relation
concept:100050,synset:01505958-v,mapped_to_synset
concept:100050,domain:verb.contact,belongs_to_domain
concept:100051,synset:01506157-v,mapped_to_synset
concept:100051,domain:verb.contact,belongs_to_domain
concept:100052,synset:01506583-v,mapped_to_synset
concept:100052,domain:verb.contact,belongs_to_domain
concept:100053,synset:01506812-v,mapped_to_synset
concept:100053,domain:verb.contact,belongs_to_domain
concept:100054,synset:01507006-v,mapped_to_synset
concept:100054,domain:verb.contact,belongs_to_domain
concept:100055,synset:01507143-v,mapped_to_synset
concept:100055,domain:verb.contact,belongs_to_domain
concept:100056,synset:01507407-v,mapped_to_synset
concept:100056,domain:verb.contact,belongs_to_domain
concept:100057,synset:01507596-v,mapped_to_synset
concept:100057,domain:verb.contact,belongs_to_domain
concept:100058,synset:01507792-v,mapped_to_synset
concept:100058,domain:verb.contact,belongs_to_domain
concept:100059,synset:01507914-v,mapped_to_synset
concept:100059,domain:verb.contact,belongs_to_domain
concept:10006,synset:01989516-n,mapped_to_synset
concept:10006,domain:noun.animal,belongs_to_domain
concept:100060,synset:01508166-v,mapped_to_synset
concept:100060,domain:verb.contact,belongs_to_domain
concept:100061,synset:01508268-v,mapped_to_synset
concept:100061,domain:verb.contact,belongs_to_domain
concept:100062,synset:01508368-v,mapped_to_synset
concept:100062,domain:verb.contact,belongs_to_domain
concept:100063,synset:01508884-v,mapped_to_synset
concept:100063,domain:verb.contact,belongs_to_domain
concept:100064,synset:01509079-v,mapped_to_synset
concept:100064,domain:verb.contact,belongs_to_domain
concept:100065,synset:01509280-v,mapped_to_synset
concept:100065,domain:verb.contact,belongs_to_domain
concept:100066,synset:01509492-v,mapped_to_synset
concept:100066,domain:verb.contact,belongs_to_domain
concept:100067,synset:01509584-v,mapped_to_synset
concept:100067,domain:verb.contact,belongs_to_domain
concept:100068,synset:01509824-v,mapped_to_synset
concept:100068,domain:verb.contact,belongs_to_domain
concept:100069,synset:01509933-v,mapped_to_synset
concept:100069,domain:verb.contact,belongs_to_domain
concept:10007,synset:01989701-n,mapped_to_synset
concept:10007,domain:noun.animal,belongs_to_domain
concept:100070,synset:01510082-v,mapped_to_synset
concept:100070,domain:verb.contact,belongs_to_domain
concept:100071,synset:01510173-v,mapped_to_synset
concept:100071,domain:verb.contact,belongs_to_domain
concept:100072,synset:01510399-v,mapped_to_synset
concept:100072,domain:verb.contact,belongs_to_domain
concept:100073,synset:01510576-v,mapped_to_synset
concept:100073,domain:verb.contact,belongs_to_domain
concept:100074,synset:01510827-v,mapped_to_synset
concept:100074,domain:verb.contact,belongs_to_domain
concept:100075,synset:01511134-v,mapped_to_synset
concept:100075,domain:verb.contact,belongs_to_domain
concept:100076,synset:01511289-v,mapped_to_synset
concept:100076,domain:verb.contact,belongs_to_domain
concept:100077,synset:01511380-v,mapped_to_synset
concept:100077,domain:verb.contact,belongs_to_domain
concept:100078,synset:01511706-v,mapped_to_synset
concept:100078,domain:verb.contact,belongs_to_domain
concept:100079,synset:01512259-v,mapped_to_synset
concept:100079,domain:verb.contact,belongs_to_domain
concept:10008,synset:01989869-n,mapped_to_synset
concept:10008,domain:noun.animal,belongs_to_domain
concept:100080,synset:01512465-v,mapped_to_synset
concept:100080,domain:verb.contact,belongs_to_domain
concept:100081,synset:01512625-v,mapped_to_synset
concept:100081,domain:verb.contact,belongs_to_domain
concept:100082,synset:01512921-v,mapped_to_synset
concept:100082,domain:verb.contact,belongs_to_domain
concept:100083,synset:01513045-v,mapped_to_synset
concept:100083,domain:verb.contact,belongs_to_domain
concept:100084,synset:01513145-v,mapped_to_synset
concept:100084,domain:verb.contact,belongs_to_domain
