id,type,concept_id,wn30_id,domain,language,text,char,ipa,audio_path,char_type,case
concept:100053,Concept,100053,,,,,,,,,
synset:01506812-v,Synset,,01506812-v,,,,,,,,
concept:100054,Concept,100054,,,,,,,,,
synset:01507006-v,Synset,,01507006-v,,,,,,,,
concept:100055,Concept,100055,,,,,,,,,
synset:01507143-v,Synset,,01507143-v,,,,,,,,
concept:100056,Concept,100056,,,,,,,,,
synset:01507407-v,Synset,,01507407-v,,,,,,,,
concept:100057,Concept,100057,,,,,,,,,
synset:01507596-v,Synset,,01507596-v,,,,,,,,
concept:100058,Concept,100058,,,,,,,,,
synset:01507792-v,Synset,,01507792-v,,,,,,,,
concept:100059,Concept,100059,,,,,,,,,
synset:01507914-v,Synset,,01507914-v,,,,,,,,
concept:10006,Concept,10006,,,,,,,,,
synset:01989516-n,Synset,,01989516-n,,,,,,,,
concept:100060,Concept,100060,,,,,,,,,
synset:01508166-v,Synset,,01508166-v,,,,,,,,
concept:100061,Concept,100061,,,,,,,,,
synset:01508268-v,Synset,,01508268-v,,,,,,,,
concept:100062,Concept,100062,,,,,,,,,
synset:01508368-v,Synset,,01508368-v,,,,,,,,
concept:100063,Concept,100063,,,,,,,,,
synset:01508884-v,Synset,,01508884-v,,,,,,,,
concept:100064,Concept,100064,,,,,,,,,
synset:01509079-v,Synset,,01509079-v,,,,,,,,
concept:100065,Concept,100065,,,,,,,,,
synset:01509280-v,Synset,,01509280-v,,,,,,,,
concept:100066,Concept,100066,,,,,,,,,
synset:01509492-v,Synset,,01509492-v,,,,,,,,
concept:100067,Concept,100067,,,,,,,,,
synset:01509584-v,Synset,,01509584-v,,,,,,,,
concept:100068,Concept,100068,,,,,,,,,
synset:01509824-v,Synset,,01509824-v,,,,,,,,
concept:100069,Concept,100069,,,,,,,,,
synset:01509933-v,Synset,,01509933-v,,,,,,,,
concept:10007,Concept,10007,,,,,,,,,
synset:01989701-n,Synset,,01989701-n,,,,,,,,
concept:100070,Concept,100070,,,,,,,,,
synset:01510082-v,Synset,,01510082-v,,,,,,,,
concept:100071,Concept,100071,,,,,,,,,
synset:01510173-v,Synset,,01510173-v,,,,,,,,
concept:100072,Concept,100072,,,,,,,,,
synset:01510399-v,Synset,,01510399-v,,,,,,,,
concept:100073,Concept,100073,,,,,,,,,
synset:01510576-v,Synset,,01510576-v,,,,,,,,
concept:100074,Concept,100074,,,,,,,,,
synset:01510827-v,Synset,,01510827-v,,,,,,,,
concept:100075,Concept,100075,,,,,,,,,
synset:01511134-v,Synset,,01511134-v,,,,,,,,
concept:100076,Concept,100076,,,,,,,,,
synset:01511289-v,Synset,,01511289-v,,,,,,,,
concept:100077,Concept,100077,,,,,,,,,
synset:01511380-v,Synset,,01511380-v,,,,,,,,
concept:100078,Concept,100078,,,,,,,,,
synset:01511706-v,Synset,,01511706-v,,,,,,,,
concept:100079,Concept,100079,,,,,,,,,
synset:01512259-v,Synset,,01512259-v,,,,,,,,
concept:10008,Concept,10008,,,,,,,,,
synset:01989869-n,Synset,,01989869-n,,,,,,,,
concept:100080,Concept,100080,,,,,,,,,
synset:01512465-v,Synset,,01512465-v,,,,,,,,
concept:100081,Concept,100081,,,,,,,,,
synset:01512625-v,Synset,,01512625-v,,,,,,,,
concept:100082,Concept,100082,,,,,,,,,
synset:01512921-v,Synset,,01512921-v,,,,,,,,
concept:100083,Concept,100083,,,,,,,,,
synset:01513045-v,Synset,,01513045-v,,,,,,,,
concept:100084,Concept,100084,,,,,,,,,
synset:01513145-v,Synset,,01513145-v,,,,,,,,
concept:100085,Concept,100085,,,,,,,,,
synset:01513290-v,Synset,,01513290-v,,,,,,,,
concept:100086,Concept,100086,,,,,,,,,
synset:01513430-v,Synset,,01513430-v,,,,,,,,
concept:100087,Concept,100087,,,,,,,,,
synset:01513710-v,Synset,,01513710-v,,,,,,,,
concept:100088,Concept,100088,,,,,,,,,
synset:01513838-v,Synset,,01513838-v,,,,,,,,
concept:100089,Concept,100089,,,,,,,,,
synset:01513990-v,Synset,,01513990-v,,,,,,,,
concept:10009,Concept,10009,,,,,,,,,
synset:01990007-n,Synset,,01990007-n,,,,,,,,
concept:100090,Concept,100090,,,,,,,,,
synset:01514126-v,Synset,,01514126-v,,,,,,,,
concept:100091,Concept,100091,,,,,,,,,
synset:01514248-v,Synset,,01514248-v,,,,,,,,
concept:100092,Concept,100092,,,,,,,,,
synset:01514348-v,Synset,,01514348-v,,,,,,,,
concept:100093,Concept,100093,,,,,,,,,
synset:01514525-v,Synset,,01514525-v,,,,,,,,
concept:100094,Concept,100094,,,,,,,,,
synset:01514655-v,Synset,,01514655-v,,,,,,,,
concept:100095,Concept,100095,,,,,,,,,
synset:01514887-v,Synset,,01514887-v,,,,,,,,
concept:100096,Concept,100096,,,,,,,,,
synset:01515056-v,Synset,,01515056-v,,,,,,,,
concept:100097,Concept,100097,,,,,,,,,
synset:01515196-v,Synset,,01515196-v,,,,,,,,
concept:100098,Concept,100098,,,,,,,,,
synset:01515415-v,Synset,,01515415-v,,,,,,,,
concept:100099,Concept,100099,,,,,,,,,
synset:01515566-v,Synset,,01515566-v,,,,,,,,
concept:1001,Concept,1001,,,,,,,,,
synset:00216174-n,Synset,,00216174-n,,,,,,,,
concept:10010,Concept,10010,,,,,,,,,
synset:01990186-n,Synset,,01990186-n,,,,,,,,
concept:100100,Concept,100100,,,,,,,,,
synset:01515791-v,Synset,,01515791-v,,,,,,,,
concept:100101,Concept,100101,,,,,,,,,
synset:01515924-v,Synset,,01515924-v,,,,,,,,
concept:100102,Concept,100102,,,,,,,,,
synset:01516071-v,Synset,,01516071-v,,,,,,,,
concept:100103,Concept,100103,,,,,,,,,
synset:01516290-v,Synset,,01516290-v,,,,,,,,
concept:100104,Concept,100104,,,,,,,,,
synset:01516534-v,Synset,,01516534-v,,,,,,,,
concept:100105,Concept,100105,,,,,,,,,
synset:01516865-v,Synset,,01516865-v,,,,,,,,
concept:100106,Concept,100106,,,,,,,,,
synset:01516965-v,Synset,,01516965-v,,,,,,,,
concept:100108,Concept,100108,,,,,,,,,
synset:01517055-v,Synset,,01517055-v,,,,,,,,
concept:100109,Concept,100109,,,,,,,,,
synset:01517175-v,Synset,,01517175-v,,,,,,,,
concept:10011,Concept,10011,,,,,,,,,
synset:01990383-n,Synset,,01990383-n,,,,,,,,
concept:100110,Concept,100110,,,,,,,,,
synset:01517355-v,Synset,,01517355-v,,,,,,,,
concept:100111,Concept,100111,,,,,,,,,
synset:01517515-v,Synset,,01517515-v,,,,,,,,
concept:100112,Concept,100112,,,,,,,,,
synset:01517662-v,Synset,,01517662-v,,,,,,,,
concept:100113,Concept,100113,,,,,,,,,
synset:01518047-v,Synset,,01518047-v,,,,,,,,
concept:100114,Concept,100114,,,,,,,,,
synset:01518203-v,Synset,,01518203-v,,,,,,,,
concept:100115,Concept,100115,,,,,,,,,
synset:01518343-v,Synset,,01518343-v,,,,,,,,
concept:100116,Concept,100116,,,,,,,,,
synset:01518449-v,Synset,,01518449-v,,,,,,,,
concept:100117,Concept,100117,,,,,,,,,
synset:01518552-v,Synset,,01518552-v,,,,,,,,
concept:100118,Concept,100118,,,,,,,,,
synset:01518659-v,Synset,,01518659-v,,,,,,,,
concept:100119,Concept,100119,,,,,,,,,
synset:01518772-v,Synset,,01518772-v,,,,,,,,
concept:10012,Concept,10012,,,,,,,,,
synset:01990516-n,Synset,,01990516-n,,,,,,,,
concept:100120,Concept,100120,,,,,,,,,
synset:01518924-v,Synset,,01518924-v,,,,,,,,
concept:100121,Concept,100121,,,,,,,,,
synset:01519184-v,Synset,,01519184-v,,,,,,,,
concept:100122,Concept,100122,,,,,,,,,
synset:01519321-v,Synset,,01519321-v,,,,,,,,
concept:100123,Concept,100123,,,,,,,,,
synset:01519446-v,Synset,,01519446-v,,,,,,,,
concept:100124,Concept,100124,,,,,,,,,
synset:01519569-v,Synset,,01519569-v,,,,,,,,
concept:100125,Concept,100125,,,,,,,,,
synset:01519727-v,Synset,,01519727-v,,,,,,,,
concept:100126,Concept,100126,,,,,,,,,
synset:01519857-v,Synset,,01519857-v,,,,,,,,
concept:100127,Concept,100127,,,,,,,,,
synset:01519977-v,Synset,,01519977-v,,,,,,,,
concept:100128,Concept,100128,,,,,,,,,
synset:01520454-v,Synset,,01520454-v,,,,,,,,
concept:100129,Concept,100129,,,,,,,,,
synset:01520655-v,Synset,,01520655-v,,,,,,,,
concept:10013,Concept,10013,,,,,,,,,
synset:01990627-n,Synset,,01990627-n,,,,,,,,
concept:100130,Concept,100130,,,,,,,,,
synset:01520844-v,Synset,,01520844-v,,,,,,,,
concept:100131,Concept,100131,,,,,,,,,
synset:01521124-v,Synset,,01521124-v,,,,,,,,
concept:100132,Concept,100132,,,,,,,,,
synset:01521367-v,Synset,,01521367-v,,,,,,,,
concept:100133,Concept,100133,,,,,,,,,
synset:01521603-v,Synset,,01521603-v,,,,,,,,
concept:100134,Concept,100134,,,,,,,,,
synset:01521813-v,Synset,,01521813-v,,,,,,,,
concept:100135,Concept,100135,,,,,,,,,
synset:01521912-v,Synset,,01521912-v,,,,,,,,
concept:100136,Concept,100136,,,,,,,,,
synset:01522052-v,Synset,,01522052-v,,,,,,,,
concept:100137,Concept,100137,,,,,,,,,
synset:01522276-v,Synset,,01522276-v,,,,,,,,
concept:100138,Concept,100138,,,,,,,,,
synset:01457486-a,Synset,,01457486-a,,,,,,,,
concept:100139,Concept,100139,,,,,,,,,
synset:01522878-v,Synset,,01522878-v,,,,,,,,
concept:100140,Concept,100140,,,,,,,,,
synset:01523004-v,Synset,,01523004-v,,,,,,,,
concept:100141,Concept,100141,,,,,,,,,
synset:01523105-v,Synset,,01523105-v,,,,,,,,
concept:100142,Concept,100142,,,,,,,,,
synset:01523270-v,Synset,,01523270-v,,,,,,,,
concept:100143,Concept,100143,,,,,,,,,
synset:01523401-v,Synset,,01523401-v,,,,,,,,
concept:100144,Concept,100144,,,,,,,,,
synset:01523520-v,Synset,,01523520-v,,,,,,,,
concept:100145,Concept,100145,,,,,,,,,
synset:01523654-v,Synset,,01523654-v,,,,,,,,
concept:100146,Concept,100146,,,,,,,,,
synset:01523823-v,Synset,,01523823-v,,,,,,,,
concept:100147,Concept,100147,,,,,,,,,
synset:01523986-v,Synset,,01523986-v,,,,,,,,
concept:100148,Concept,100148,,,,,,,,,
synset:01524199-v,Synset,,01524199-v,,,,,,,,
concept:100149,Concept,100149,,,,,,,,,
synset:01524298-v,Synset,,01524298-v,,,,,,,,
concept:10015,Concept,10015,,,,,,,,,
synset:01991028-n,Synset,,01991028-n,,,,,,,,
concept:100150,Concept,100150,,,,,,,,,
synset:01524523-v,Synset,,01524523-v,,,,,,,,
concept:100151,Concept,100151,,,,,,,,,
synset:01524871-v,Synset,,01524871-v,,,,,,,,
concept:100152,Concept,100152,,,,,,,,,
synset:01525066-v,Synset,,01525066-v,,,,,,,,
concept:100153,Concept,100153,,,,,,,,,
synset:01525177-v,Synset,,01525177-v,,,,,,,,
concept:100154,Concept,100154,,,,,,,,,
synset:01525295-v,Synset,,01525295-v,,,,,,,,
concept:100155,Concept,100155,,,,,,,,,
synset:01525505-v,Synset,,01525505-v,,,,,,,,
concept:100156,Concept,100156,,,,,,,,,
synset:01525666-v,Synset,,01525666-v,,,,,,,,
concept:100157,Concept,100157,,,,,,,,,
synset:01526139-v,Synset,,01526139-v,,,,,,,,
concept:100158,Concept,100158,,,,,,,,,
synset:01526290-v,Synset,,01526290-v,,,,,,,,
concept:100159,Concept,100159,,,,,,,,,
synset:01526483-v,Synset,,01526483-v,,,,,,,,
concept:10016,Concept,10016,,,,,,,,,
