id,type,concept_id,wn30_id,domain,language,text,char,ipa,audio_path,char_type,case
synset:07474318-n,Synset,,07474318-n,,,,,,,,
concept:39526,Concept,39526,,,,,,,,,
synset:07474533-n,Synset,,07474533-n,,,,,,,,
concept:39527,Concept,39527,,,,,,,,,
synset:07474645-n,Synset,,07474645-n,,,,,,,,
concept:39528,Concept,39528,,,,,,,,,
synset:07474809-n,Synset,,07474809-n,,,,,,,,
concept:39529,Concept,39529,,,,,,,,,
synset:07474911-n,Synset,,07474911-n,,,,,,,,
concept:3953,Concept,3953,,,,,,,,,
synset:00784388-n,Synset,,00784388-n,,,,,,,,
concept:39530,Concept,39530,,,,,,,,,
synset:07475035-n,Synset,,07475035-n,,,,,,,,
concept:39531,Concept,39531,,,,,,,,,
synset:07475107-n,Synset,,07475107-n,,,,,,,,
concept:39532,Concept,39532,,,,,,,,,
synset:07475242-n,Synset,,07475242-n,,,,,,,,
concept:39533,Concept,39533,,,,,,,,,
synset:07475364-n,Synset,,07475364-n,,,,,,,,
concept:39534,Concept,39534,,,,,,,,,
synset:07475762-n,Synset,,07475762-n,,,,,,,,
concept:39535,Concept,39535,,,,,,,,,
synset:07475870-n,Synset,,07475870-n,,,,,,,,
concept:39536,Concept,39536,,,,,,,,,
synset:07476092-n,Synset,,07476092-n,,,,,,,,
concept:39537,Concept,39537,,,,,,,,,
synset:07476404-n,Synset,,07476404-n,,,,,,,,
concept:39538,Concept,39538,,,,,,,,,
synset:07476282-n,Synset,,07476282-n,,,,,,,,
concept:39539,Concept,39539,,,,,,,,,
synset:07476495-n,Synset,,07476495-n,,,,,,,,
concept:3954,Concept,3954,,,,,,,,,
synset:00784598-n,Synset,,00784598-n,,,,,,,,
concept:39540,Concept,39540,,,,,,,,,
synset:07476623-n,Synset,,07476623-n,,,,,,,,
concept:39541,Concept,39541,,,,,,,,,
synset:07476851-n,Synset,,07476851-n,,,,,,,,
concept:39542,Concept,39542,,,,,,,,,
synset:07476952-n,Synset,,07476952-n,,,,,,,,
concept:39543,Concept,39543,,,,,,,,,
synset:07477066-n,Synset,,07477066-n,,,,,,,,
concept:39544,Concept,39544,,,,,,,,,
synset:07477231-n,Synset,,07477231-n,,,,,,,,
concept:39545,Concept,39545,,,,,,,,,
synset:07477413-n,Synset,,07477413-n,,,,,,,,
concept:39546,Concept,39546,,,,,,,,,
synset:07477587-n,Synset,,07477587-n,,,,,,,,
concept:39547,Concept,39547,,,,,,,,,
synset:07477945-n,Synset,,07477945-n,,,,,,,,
concept:39548,Concept,39548,,,,,,,,,
synset:07478169-n,Synset,,07478169-n,,,,,,,,
concept:39549,Concept,39549,,,,,,,,,
synset:07478318-n,Synset,,07478318-n,,,,,,,,
concept:3955,Concept,3955,,,,,,,,,
synset:00784755-n,Synset,,00784755-n,,,,,,,,
concept:39550,Concept,39550,,,,,,,,,
synset:07478718-n,Synset,,07478718-n,,,,,,,,
concept:39551,Concept,39551,,,,,,,,,
synset:07478874-n,Synset,,07478874-n,,,,,,,,
concept:39552,Concept,39552,,,,,,,,,
synset:07479144-n,Synset,,07479144-n,,,,,,,,
concept:39553,Concept,39553,,,,,,,,,
synset:07479366-n,Synset,,07479366-n,,,,,,,,
concept:39554,Concept,39554,,,,,,,,,
synset:07479525-n,Synset,,07479525-n,,,,,,,,
concept:39555,Concept,39555,,,,,,,,,
synset:07479628-n,Synset,,07479628-n,,,,,,,,
concept:39556,Concept,39556,,,,,,,,,
synset:07479799-n,Synset,,07479799-n,,,,,,,,
concept:39557,Concept,39557,,,,,,,,,
synset:07479926-n,Synset,,07479926-n,,,,,,,,
domain:noun.feeling,Domain,,,noun.feeling,,,,,,,
concept:39558,Concept,39558,,,,,,,,,
synset:07480068-n,Synset,,07480068-n,,,,,,,,
concept:39559,Concept,39559,,,,,,,,,
synset:07480356-n,Synset,,07480356-n,,,,,,,,
concept:3956,Concept,3956,,,,,,,,,
synset:00784934-n,Synset,,00784934-n,,,,,,,,
concept:39560,Concept,39560,,,,,,,,,
synset:07480521-n,Synset,,07480521-n,,,,,,,,
concept:39561,Concept,39561,,,,,,,,,
synset:07480666-n,Synset,,07480666-n,,,,,,,,
concept:39562,Concept,39562,,,,,,,,,
synset:07480790-n,Synset,,07480790-n,,,,,,,,
concept:39563,Concept,39563,,,,,,,,,
synset:07480896-n,Synset,,07480896-n,,,,,,,,
concept:39564,Concept,39564,,,,,,,,,
synset:07481084-n,Synset,,07481084-n,,,,,,,,
concept:39565,Concept,39565,,,,,,,,,
synset:07481223-n,Synset,,07481223-n,,,,,,,,
concept:39566,Concept,39566,,,,,,,,,
synset:07481375-n,Synset,,07481375-n,,,,,,,,
concept:39567,Concept,39567,,,,,,,,,
synset:07481625-n,Synset,,07481625-n,,,,,,,,
concept:39568,Concept,39568,,,,,,,,,
synset:07481785-n,Synset,,07481785-n,,,,,,,,
concept:39569,Concept,39569,,,,,,,,,
synset:07481951-n,Synset,,07481951-n,,,,,,,,
concept:3957,Concept,3957,,,,,,,,,
synset:00785045-n,Synset,,00785045-n,,,,,,,,
concept:39570,Concept,39570,,,,,,,,,
synset:07482128-n,Synset,,07482128-n,,,,,,,,
concept:39571,Concept,39571,,,,,,,,,
synset:07482267-n,Synset,,07482267-n,,,,,,,,
concept:39572,Concept,39572,,,,,,,,,
synset:07482368-n,Synset,,07482368-n,,,,,,,,
concept:39573,Concept,39573,,,,,,,,,
synset:07482521-n,Synset,,07482521-n,,,,,,,,
concept:39574,Concept,39574,,,,,,,,,
synset:07482782-n,Synset,,07482782-n,,,,,,,,
concept:39575,Concept,39575,,,,,,,,,
synset:07483005-n,Synset,,07483005-n,,,,,,,,
concept:39576,Concept,39576,,,,,,,,,
synset:07483120-n,Synset,,07483120-n,,,,,,,,
concept:39577,Concept,39577,,,,,,,,,
synset:07483305-n,Synset,,07483305-n,,,,,,,,
concept:39578,Concept,39578,,,,,,,,,
synset:07483439-n,Synset,,07483439-n,,,,,,,,
concept:39579,Concept,39579,,,,,,,,,
synset:07483622-n,Synset,,07483622-n,,,,,,,,
concept:3958,Concept,3958,,,,,,,,,
synset:00785263-n,Synset,,00785263-n,,,,,,,,
concept:39580,Concept,39580,,,,,,,,,
synset:07483782-n,Synset,,07483782-n,,,,,,,,
concept:39581,Concept,39581,,,,,,,,,
synset:07484109-n,Synset,,07484109-n,,,,,,,,
concept:39582,Concept,39582,,,,,,,,,
synset:07484265-n,Synset,,07484265-n,,,,,,,,
concept:39583,Concept,39583,,,,,,,,,
synset:07484547-n,Synset,,07484547-n,,,,,,,,
concept:39584,Concept,39584,,,,,,,,,
synset:07484792-n,Synset,,07484792-n,,,,,,,,
concept:39585,Concept,39585,,,,,,,,,
synset:07484929-n,Synset,,07484929-n,,,,,,,,
concept:39586,Concept,39586,,,,,,,,,
synset:07485047-n,Synset,,07485047-n,,,,,,,,
concept:39587,Concept,39587,,,,,,,,,
synset:07485203-n,Synset,,07485203-n,,,,,,,,
concept:39588,Concept,39588,,,,,,,,,
synset:07485281-n,Synset,,07485281-n,,,,,,,,
concept:39589,Concept,39589,,,,,,,,,
synset:07485475-n,Synset,,07485475-n,,,,,,,,
concept:3959,Concept,3959,,,,,,,,,
synset:00785482-n,Synset,,00785482-n,,,,,,,,
concept:39590,Concept,39590,,,,,,,,,
synset:07485626-n,Synset,,07485626-n,,,,,,,,
concept:39591,Concept,39591,,,,,,,,,
synset:07485916-n,Synset,,07485916-n,,,,,,,,
concept:39592,Concept,39592,,,,,,,,,
synset:07486055-n,Synset,,07486055-n,,,,,,,,
concept:39593,Concept,39593,,,,,,,,,
synset:07486145-n,Synset,,07486145-n,,,,,,,,
concept:39594,Concept,39594,,,,,,,,,
synset:07486229-n,Synset,,07486229-n,,,,,,,,
concept:39595,Concept,39595,,,,,,,,,
synset:07486527-n,Synset,,07486527-n,,,,,,,,
concept:39596,Concept,39596,,,,,,,,,
synset:07486628-n,Synset,,07486628-n,,,,,,,,
concept:39597,Concept,39597,,,,,,,,,
synset:07486922-n,Synset,,07486922-n,,,,,,,,
concept:39598,Concept,39598,,,,,,,,,
synset:07487063-n,Synset,,07487063-n,,,,,,,,
concept:39599,Concept,39599,,,,,,,,,
synset:07487177-n,Synset,,07487177-n,,,,,,,,
concept:396,Concept,396,,,,,,,,,
synset:00100437-n,Synset,,00100437-n,,,,,,,,
concept:3960,Concept,3960,,,,,,,,,
synset:00785596-n,Synset,,00785596-n,,,,,,,,
concept:39600,Concept,39600,,,,,,,,,
synset:07487276-n,Synset,,07487276-n,,,,,,,,
concept:39601,Concept,39601,,,,,,,,,
synset:07487375-n,Synset,,07487375-n,,,,,,,,
concept:39602,Concept,39602,,,,,,,,,
synset:07487493-n,Synset,,07487493-n,,,,,,,,
concept:39603,Concept,39603,,,,,,,,,
synset:07487594-n,Synset,,07487594-n,,,,,,,,
concept:39604,Concept,39604,,,,,,,,,
synset:07487695-n,Synset,,07487695-n,,,,,,,,
concept:39605,Concept,39605,,,,,,,,,
synset:07487955-n,Synset,,07487955-n,,,,,,,,
concept:39606,Concept,39606,,,,,,,,,
synset:07488340-n,Synset,,07488340-n,,,,,,,,
concept:39607,Concept,39607,,,,,,,,,
synset:07488567-n,Synset,,07488567-n,,,,,,,,
concept:39608,Concept,39608,,,,,,,,,
synset:07488676-n,Synset,,07488676-n,,,,,,,,
concept:39609,Concept,39609,,,,,,,,,
synset:07488788-n,Synset,,07488788-n,,,,,,,,
concept:3961,Concept,3961,,,,,,,,,
synset:00785818-n,Synset,,00785818-n,,,,,,,,
concept:39610,Concept,39610,,,,,,,,,
synset:07488875-n,Synset,,07488875-n,,,,,,,,
concept:39611,Concept,39611,,,,,,,,,
synset:07489059-n,Synset,,07489059-n,,,,,,,,
concept:39612,Concept,39612,,,,,,,,,
synset:07489294-n,Synset,,07489294-n,,,,,,,,
concept:39613,Concept,39613,,,,,,,,,
synset:07489548-n,Synset,,07489548-n,,,,,,,,
concept:39614,Concept,39614,,,,,,,,,
synset:07489714-n,Synset,,07489714-n,,,,,,,,
concept:39615,Concept,39615,,,,,,,,,
synset:07489925-n,Synset,,07489925-n,,,,,,,,
concept:39616,Concept,39616,,,,,,,,,
synset:07490042-n,Synset,,07490042-n,,,,,,,,
concept:39617,Concept,39617,,,,,,,,,
synset:07490138-n,Synset,,07490138-n,,,,,,,,
concept:39618,Concept,39618,,,,,,,,,
synset:07490214-n,Synset,,07490214-n,,,,,,,,
concept:39619,Concept,39619,,,,,,,,,
synset:07490451-n,Synset,,07490451-n,,,,,,,,
concept:3962,Concept,3962,,,,,,,,,
synset:00785959-n,Synset,,00785959-n,,,,,,,,
concept:39620,Concept,39620,,,,,,,,,
synset:07490579-n,Synset,,07490579-n,,,,,,,,
concept:39621,Concept,39621,,,,,,,,,
synset:07490713-n,Synset,,07490713-n,,,,,,,,
concept:39622,Concept,39622,,,,,,,,,
synset:07491038-n,Synset,,07491038-n,,,,,,,,
concept:39623,Concept,39623,,,,,,,,,
synset:07491286-n,Synset,,07491286-n,,,,,,,,
concept:39624,Concept,39624,,,,,,,,,
synset:07491476-n,Synset,,07491476-n,,,,,,,,
concept:39625,Concept,39625,,,,,,,,,
synset:07491591-n,Synset,,07491591-n,,,,,,,,
concept:39626,Concept,39626,,,,,,,,,
synset:07491708-n,Synset,,07491708-n,,,,,,,,
concept:39627,Concept,39627,,,,,,,,,
synset:07491895-n,Synset,,07491895-n,,,,,,,,
concept:39628,Concept,39628,,,,,,,,,
synset:07491981-n,Synset,,07491981-n,,,,,,,,
concept:39629,Concept,39629,,,,,,,,,
synset:07492170-n,Synset,,07492170-n,,,,,,,,
concept:3963,Concept,3963,,,,,,,,,
synset:00786102-n,Synset,,00786102-n,,,,,,,,
concept:39630,Concept,39630,,,,,,,,,
synset:07492368-n,Synset,,07492368-n,,,,,,,,
concept:39631,Concept,39631,,,,,,,,,
synset:07492516-n,Synset,,07492516-n,,,,,,,,
concept:39632,Concept,39632,,,,,,,,,
synset:07492655-n,Synset,,07492655-n,,,,,,,,
concept:39633,Concept,39633,,,,,,,,,
synset:07492928-n,Synset,,07492928-n,,,,,,,,
concept:39634,Concept,39634,,,,,,,,,
synset:07493095-n,Synset,,07493095-n,,,,,,,,
concept:39635,Concept,39635,,,,,,,,,
synset:07493280-n,Synset,,07493280-n,,,,,,,,
concept:39636,Concept,39636,,,,,,,,,
synset:07493527-n,Synset,,07493527-n,,,,,,,,
concept:39637,Concept,39637,,,,,,,,,
synset:07493682-n,Synset,,07493682-n,,,,,,,,
concept:39638,Concept,39638,,,,,,,,,
synset:07493830-n,Synset,,07493830-n,,,,,,,,
concept:39639,Concept,39639,,,,,,,,,
synset:07494018-n,Synset,,07494018-n,,,,,,,,
concept:3964,Concept,3964,,,,,,,,,
synset:00786195-n,Synset,,00786195-n,,,,,,,,
concept:39640,Concept,39640,,,,,,,,,
synset:07494175-n,Synset,,07494175-n,,,,,,,,
concept:39641,Concept,39641,,,,,,,,,
synset:07494363-n,Synset,,07494363-n,,,,,,,,
concept:39642,Concept,39642,,,,,,,,,
synset:07494682-n,Synset,,07494682-n,,,,,,,,
concept:39643,Concept,39643,,,,,,,,,
synset:07494787-n,Synset,,07494787-n,,,,,,,,
concept:39644,Concept,39644,,,,,,,,,
synset:07494972-n,Synset,,07494972-n,,,,,,,,
concept:39645,Concept,39645,,,,,,,,,
synset:07495156-n,Synset,,07495156-n,,,,,,,,
concept:39646,Concept,39646,,,,,,,,,
synset:07495236-n,Synset,,07495236-n,,,,,,,,
concept:39647,Concept,39647,,,,,,,,,
synset:07495327-n,Synset,,07495327-n,,,,,,,,
concept:39648,Concept,39648,,,,,,,,,
synset:07495551-n,Synset,,07495551-n,,,,,,,,
concept:39649,Concept,39649,,,,,,,,,
synset:07495878-n,Synset,,07495878-n,,,,,,,,
concept:3965,Concept,3965,,,,,,,,,
synset:00786887-n,Synset,,00786887-n,,,,,,,,
concept:39650,Concept,39650,,,,,,,,,
synset:07495973-n,Synset,,07495973-n,,,,,,,,
concept:39651,Concept,39651,,,,,,,,,
synset:07496166-n,Synset,,07496166-n,,,,,,,,
concept:39652,Concept,39652,,,,,,,,,
synset:07496291-n,Synset,,07496291-n,,,,,,,,
concept:39653,Concept,39653,,,,,,,,,
synset:07496463-n,Synset,,07496463-n,,,,,,,,
concept:39654,Concept,39654,,,,,,,,,
synset:07496755-n,Synset,,07496755-n,,,,,,,,
concept:39655,Concept,39655,,,,,,,,,
synset:07496924-n,Synset,,07496924-n,,,,,,,,
concept:39656,Concept,39656,,,,,,,,,
synset:07497019-n,Synset,,07497019-n,,,,,,,,
concept:39657,Concept,39657,,,,,,,,,
synset:07497122-n,Synset,,07497122-n,,,,,,,,
concept:39658,Concept,39658,,,,,,,,,
synset:07497473-n,Synset,,07497473-n,,,,,,,,
concept:39659,Concept,39659,,,,,,,,,
synset:07497797-n,Synset,,07497797-n,,,,,,,,
concept:3966,Concept,3966,,,,,,,,,
synset:00787061-n,Synset,,00787061-n,,,,,,,,
concept:39660,Concept,39660,,,,,,,,,
synset:07497976-n,Synset,,07497976-n,,,,,,,,
concept:39661,Concept,39661,,,,,,,,,
synset:07498210-n,Synset,,07498210-n,,,,,,,,
concept:39662,Concept,39662,,,,,,,,,
synset:07498455-n,Synset,,07498455-n,,,,,,,,
concept:39663,Concept,39663,,,,,,,,,
synset:07498614-n,Synset,,07498614-n,,,,,,,,
concept:39664,Concept,39664,,,,,,,,,
synset:07498769-n,Synset,,07498769-n,,,,,,,,
concept:39665,Concept,39665,,,,,,,,,
synset:07498854-n,Synset,,07498854-n,,,,,,,,
concept:39666,Concept,39666,,,,,,,,,
synset:07499113-n,Synset,,07499113-n,,,,,,,,
concept:39667,Concept,39667,,,,,,,,,
synset:07499276-n,Synset,,07499276-n,,,,,,,,
concept:39668,Concept,39668,,,,,,,,,
synset:07499449-n,Synset,,07499449-n,,,,,,,,
concept:39669,Concept,39669,,,,,,,,,
synset:07499615-n,Synset,,07499615-n,,,,,,,,
concept:3967,Concept,3967,,,,,,,,,
synset:00787218-n,Synset,,00787218-n,,,,,,,,
concept:39670,Concept,39670,,,,,,,,,
synset:07499830-n,Synset,,07499830-n,,,,,,,,
concept:39671,Concept,39671,,,,,,,,,
synset:07499930-n,Synset,,07499930-n,,,,,,,,
concept:39672,Concept,39672,,,,,,,,,
synset:07500042-n,Synset,,07500042-n,,,,,,,,
concept:39673,Concept,39673,,,,,,,,,
synset:07500159-n,Synset,,07500159-n,,,,,,,,
concept:39674,Concept,39674,,,,,,,,,
synset:07500414-n,Synset,,07500414-n,,,,,,,,
concept:39675,Concept,39675,,,,,,,,,
synset:07500612-n,Synset,,07500612-n,,,,,,,,
concept:39676,Concept,39676,,,,,,,,,
synset:07500741-n,Synset,,07500741-n,,,,,,,,
concept:39677,Concept,39677,,,,,,,,,
synset:07500957-n,Synset,,07500957-n,,,,,,,,
concept:39678,Concept,39678,,,,,,,,,
synset:07501093-n,Synset,,07501093-n,,,,,,,,
concept:39679,Concept,39679,,,,,,,,,
synset:07501194-n,Synset,,07501194-n,,,,,,,,
concept:3968,Concept,3968,,,,,,,,,
synset:00787307-n,Synset,,00787307-n,,,,,,,,
concept:39680,Concept,39680,,,,,,,,,
synset:07501326-n,Synset,,07501326-n,,,,,,,,
concept:39681,Concept,39681,,,,,,,,,
synset:07501420-n,Synset,,07501420-n,,,,,,,,
concept:39682,Concept,39682,,,,,,,,,
synset:07501545-n,Synset,,07501545-n,,,,,,,,
concept:39683,Concept,39683,,,,,,,,,
synset:07501922-n,Synset,,07501922-n,,,,,,,,
concept:39684,Concept,39684,,,,,,,,,
synset:07502099-n,Synset,,07502099-n,,,,,,,,
concept:39685,Concept,39685,,,,,,,,,
synset:07502241-n,Synset,,07502241-n,,,,,,,,
concept:39686,Concept,39686,,,,,,,,,
synset:07502387-n,Synset,,07502387-n,,,,,,,,
concept:39687,Concept,39687,,,,,,,,,
synset:07502576-n,Synset,,07502576-n,,,,,,,,
concept:39688,Concept,39688,,,,,,,,,
synset:07502669-n,Synset,,07502669-n,,,,,,,,
concept:39689,Concept,39689,,,,,,,,,
synset:07502829-n,Synset,,07502829-n,,,,,,,,
concept:3969,Concept,3969,,,,,,,,,
synset:00787465-n,Synset,,00787465-n,,,,,,,,
concept:39690,Concept,39690,,,,,,,,,
synset:07502980-n,Synset,,07502980-n,,,,,,,,
concept:39691,Concept,39691,,,,,,,,,
synset:07503260-n,Synset,,07503260-n,,,,,,,,
concept:39692,Concept,39692,,,,,,,,,
synset:07503430-n,Synset,,07503430-n,,,,,,,,
concept:39693,Concept,39693,,,,,,,,,
synset:07503716-n,Synset,,07503716-n,,,,,,,,
concept:39694,Concept,39694,,,,,,,,,
synset:07503849-n,Synset,,07503849-n,,,,,,,,
concept:39695,Concept,39695,,,,,,,,,
synset:07503987-n,Synset,,07503987-n,,,,,,,,
concept:39696,Concept,39696,,,,,,,,,
synset:07504111-n,Synset,,07504111-n,,,,,,,,
concept:39697,Concept,39697,,,,,,,,,
synset:07504258-n,Synset,,07504258-n,,,,,,,,
concept:39698,Concept,39698,,,,,,,,,
synset:07504343-n,Synset,,07504343-n,,,,,,,,
concept:39699,Concept,39699,,,,,,,,,
synset:07504529-n,Synset,,07504529-n,,,,,,,,
concept:397,Concept,397,,,,,,,,,
synset:00100543-n,Synset,,00100543-n,,,,,,,,
concept:3970,Concept,3970,,,,,,,,,
synset:00787727-n,Synset,,00787727-n,,,,,,,,
concept:39700,Concept,39700,,,,,,,,,
synset:07504711-n,Synset,,07504711-n,,,,,,,,
concept:39701,Concept,39701,,,,,,,,,
synset:07504841-n,Synset,,07504841-n,,,,,,,,
concept:39702,Concept,39702,,,,,,,,,
synset:07505047-n,Synset,,07505047-n,,,,,,,,
concept:39703,Concept,39703,,,,,,,,,
synset:07505207-n,Synset,,07505207-n,,,,,,,,
concept:39704,Concept,39704,,,,,,,,,
synset:07505347-n,Synset,,07505347-n,,,,,,,,
concept:39705,Concept,39705,,,,,,,,,
synset:07505538-n,Synset,,07505538-n,,,,,,,,
concept:39706,Concept,39706,,,,,,,,,
synset:07505676-n,Synset,,07505676-n,,,,,,,,
concept:39707,Concept,39707,,,,,,,,,
synset:07505871-n,Synset,,07505871-n,,,,,,,,
concept:39708,Concept,39708,,,,,,,,,
synset:07506031-n,Synset,,07506031-n,,,,,,,,
concept:39709,Concept,39709,,,,,,,,,
synset:07506149-n,Synset,,07506149-n,,,,,,,,
concept:3971,Concept,3971,,,,,,,,,
synset:00787832-n,Synset,,00787832-n,,,,,,,,
concept:39710,Concept,39710,,,,,,,,,
synset:07506382-n,Synset,,07506382-n,,,,,,,,
concept:39711,Concept,39711,,,,,,,,,
synset:07506569-n,Synset,,07506569-n,,,,,,,,
concept:39712,Concept,39712,,,,,,,,,
synset:07506797-n,Synset,,07506797-n,,,,,,,,
concept:39713,Concept,39713,,,,,,,,,
synset:07506962-n,Synset,,07506962-n,,,,,,,,
concept:39714,Concept,39714,,,,,,,,,
synset:07507098-n,Synset,,07507098-n,,,,,,,,
concept:39715,Concept,39715,,,,,,,,,
synset:07507329-n,Synset,,07507329-n,,,,,,,,
concept:39716,Concept,39716,,,,,,,,,
synset:07507560-n,Synset,,07507560-n,,,,,,,,
concept:39717,Concept,39717,,,,,,,,,
synset:07507742-n,Synset,,07507742-n,,,,,,,,
concept:39718,Concept,39718,,,,,,,,,
synset:07507912-n,Synset,,07507912-n,,,,,,,,
concept:39719,Concept,39719,,,,,,,,,
synset:07508092-n,Synset,,07508092-n,,,,,,,,
concept:3972,Concept,3972,,,,,,,,,
synset:00788007-n,Synset,,00788007-n,,,,,,,,
concept:39720,Concept,39720,,,,,,,,,
synset:07508232-n,Synset,,07508232-n,,,,,,,,
concept:39721,Concept,39721,,,,,,,,,
synset:07508486-n,Synset,,07508486-n,,,,,,,,
concept:39722,Concept,39722,,,,,,,,,
synset:07508705-n,Synset,,07508705-n,,,,,,,,
concept:39723,Concept,39723,,,,,,,,,
synset:07508806-n,Synset,,07508806-n,,,,,,,,
concept:39724,Concept,39724,,,,,,,,,
synset:07508996-n,Synset,,07508996-n,,,,,,,,
concept:39725,Concept,39725,,,,,,,,,
synset:07509131-n,Synset,,07509131-n,,,,,,,,
concept:39726,Concept,39726,,,,,,,,,
synset:07509325-n,Synset,,07509325-n,,,,,,,,
concept:39727,Concept,39727,,,,,,,,,
synset:07509474-n,Synset,,07509474-n,,,,,,,,
concept:39728,Concept,39728,,,,,,,,,
synset:07509572-n,Synset,,07509572-n,,,,,,,,
concept:39729,Concept,39729,,,,,,,,,
synset:07509827-n,Synset,,07509827-n,,,,,,,,
concept:3973,Concept,3973,,,,,,,,,
synset:00788097-n,Synset,,00788097-n,,,,,,,,
concept:39730,Concept,39730,,,,,,,,,
synset:07509996-n,Synset,,07509996-n,,,,,,,,
concept:39731,Concept,39731,,,,,,,,,
synset:07510184-n,Synset,,07510184-n,,,,,,,,
concept:39732,Concept,39732,,,,,,,,,
synset:07510348-n,Synset,,07510348-n,,,,,,,,
concept:39733,Concept,39733,,,,,,,,,
synset:07510495-n,Synset,,07510495-n,,,,,,,,
concept:39734,Concept,39734,,,,,,,,,
synset:07510625-n,Synset,,07510625-n,,,,,,,,
concept:39735,Concept,39735,,,,,,,,,
synset:07510923-n,Synset,,07510923-n,,,,,,,,
concept:39736,Concept,39736,,,,,,,,,
synset:07511080-n,Synset,,07511080-n,,,,,,,,
concept:39737,Concept,39737,,,,,,,,,
synset:07511238-n,Synset,,07511238-n,,,,,,,,
concept:39738,Concept,39738,,,,,,,,,
synset:07511380-n,Synset,,07511380-n,,,,,,,,
concept:39739,Concept,39739,,,,,,,,,
synset:07511524-n,Synset,,07511524-n,,,,,,,,
concept:3974,Concept,3974,,,,,,,,,
synset:00788362-n,Synset,,00788362-n,,,,,,,,
concept:39740,Concept,39740,,,,,,,,,
synset:07511626-n,Synset,,07511626-n,,,,,,,,
concept:39741,Concept,39741,,,,,,,,,
synset:07511733-n,Synset,,07511733-n,,,,,,,,
concept:39742,Concept,39742,,,,,,,,,
synset:07511906-n,Synset,,07511906-n,,,,,,,,
concept:39743,Concept,39743,,,,,,,,,
synset:07512039-n,Synset,,07512039-n,,,,,,,,
concept:39744,Concept,39744,,,,,,,,,
synset:07512147-n,Synset,,07512147-n,,,,,,,,
concept:39745,Concept,39745,,,,,,,,,
synset:07512315-n,Synset,,07512315-n,,,,,,,,
concept:39746,Concept,39746,,,,,,,,,
synset:07512465-n,Synset,,07512465-n,,,,,,,,
concept:39747,Concept,39747,,,,,,,,,
synset:07512719-n,Synset,,07512719-n,,,,,,,,
concept:39748,Concept,39748,,,,,,,,,
synset:07512848-n,Synset,,07512848-n,,,,,,,,
concept:39749,Concept,39749,,,,,,,,,
synset:07513035-n,Synset,,07513035-n,,,,,,,,
concept:3975,Concept,3975,,,,,,,,,
synset:00788473-n,Synset,,00788473-n,,,,,,,,
concept:39750,Concept,39750,,,,,,,,,
synset:07513247-n,Synset,,07513247-n,,,,,,,,
concept:39751,Concept,39751,,,,,,,,,
synset:07513413-n,Synset,,07513413-n,,,,,,,,
concept:39752,Concept,39752,,,,,,,,,
synset:07513508-n,Synset,,07513508-n,,,,,,,,
concept:39753,Concept,39753,,,,,,,,,
synset:07513711-n,Synset,,07513711-n,,,,,,,,
concept:39754,Concept,39754,,,,,,,,,
synset:07513795-n,Synset,,07513795-n,,,,,,,,
concept:39755,Concept,39755,,,,,,,,,
synset:07514071-n,Synset,,07514071-n,,,,,,,,
concept:39756,Concept,39756,,,,,,,,,
synset:07514189-n,Synset,,07514189-n,,,,,,,,
concept:39757,Concept,39757,,,,,,,,,
synset:07514345-n,Synset,,07514345-n,,,,,,,,
concept:39758,Concept,39758,,,,,,,,,
synset:07514520-n,Synset,,07514520-n,,,,,,,,
concept:39759,Concept,39759,,,,,,,,,
synset:07514600-n,Synset,,07514600-n,,,,,,,,
concept:3976,Concept,3976,,,,,,,,,
synset:00788632-n,Synset,,00788632-n,,,,,,,,
concept:39760,Concept,39760,,,,,,,,,
synset:07514782-n,Synset,,07514782-n,,,,,,,,
concept:39761,Concept,39761,,,,,,,,,
synset:07514968-n,Synset,,07514968-n,,,,,,,,
concept:39762,Concept,39762,,,,,,,,,
synset:07515169-n,Synset,,07515169-n,,,,,,,,
concept:39763,Concept,39763,,,,,,,,,
synset:07515328-n,Synset,,07515328-n,,,,,,,,
concept:39764,Concept,39764,,,,,,,,,
synset:07515560-n,Synset,,07515560-n,,,,,,,,
concept:39765,Concept,39765,,,,,,,,,
synset:07515790-n,Synset,,07515790-n,,,,,,,,
concept:39766,Concept,39766,,,,,,,,,
synset:07515974-n,Synset,,07515974-n,,,,,,,,
concept:39767,Concept,39767,,,,,,,,,
synset:07516222-n,Synset,,07516222-n,,,,,,,,
concept:39768,Concept,39768,,,,,,,,,
synset:07516354-n,Synset,,07516354-n,,,,,,,,
concept:39769,Concept,39769,,,,,,,,,
synset:07516756-n,Synset,,07516756-n,,,,,,,,
concept:3977,Concept,3977,,,,,,,,,
synset:00788766-n,Synset,,00788766-n,,,,,,,,
concept:39770,Concept,39770,,,,,,,,,
synset:07516905-n,Synset,,07516905-n,,,,,,,,
concept:39771,Concept,39771,,,,,,,,,
synset:07516997-n,Synset,,07516997-n,,,,,,,,
concept:39772,Concept,39772,,,,,,,,,
synset:07517292-n,Synset,,07517292-n,,,,,,,,
concept:39773,Concept,39773,,,,,,,,,
synset:07517417-n,Synset,,07517417-n,,,,,,,,
concept:39774,Concept,39774,,,,,,,,,
synset:07517550-n,Synset,,07517550-n,,,,,,,,
concept:39775,Concept,39775,,,,,,,,,
synset:07517737-n,Synset,,07517737-n,,,,,,,,
concept:39776,Concept,39776,,,,,,,,,
synset:07517869-n,Synset,,07517869-n,,,,,,,,
