Source (Path),Target (Instance),Relationship
Older (same gen) - Female - Neutral - Female spk,Instance_67ea07,HAS_PRONOUN
Older (same gen) - Female - Neutral - Female spk,Instance_228796,HAS_PRONOUN
Older (same gen) - Female - Neutral - Female spk,Instance_a44434,HAS_PRONOUN
Older (same gen) - Female - Neutral - Female spk,Instance_a63c11,HAS_PRONOUN
Older (same gen) - Female - Neutral - Female spk,Instance_cd6c20,HAS_PRONOUN
Older (same gen) - Female - Neutral - Female spk,Instance_f5630a,HAS_PRONOUN
Older (same gen) - Female - Neutral - Female spk,Instance_c27ecf,HAS_PRONOUN
Middle-aged (parents' gen) - Male - Neutral - Male spk,Instance_93aa36,HAS_PRONOUN
Middle-aged (parents' gen) - Male - Neutral - Male spk,Instance_e8d770,HAS_PRONOUN
Middle-aged (parents' gen) - Male - Neutral - Male spk,Instance_223cad,HAS_PRONOUN
Middle-aged (parents' gen) - Male - Neutral - Male spk,Instance_1fea17,HAS_PRONOUN
Middle-aged (parents' gen) - Male - Neutral - Male spk,Instance_e3d6ec,HAS_PRONOUN
Middle-aged (parents' gen) - Male - Neutral - Male spk,Instance_65e39f,HAS_PRONOUN
Middle-aged (parents' gen) - Male - Neutral - Male spk,Instance_d5e856,HAS_PRONOUN
Middle-aged (parents' gen) - Male - Neutral - Male spk,Instance_b6d436,HAS_PRONOUN
Middle-aged (parents' gen) - Male - Neutral - Female spk,Instance_93aa36,HAS_PRONOUN
Middle-aged (parents' gen) - Male - Neutral - Female spk,Instance_e8d770,HAS_PRONOUN
Middle-aged (parents' gen) - Male - Neutral - Female spk,Instance_223cad,HAS_PRONOUN
Middle-aged (parents' gen) - Male - Neutral - Female spk,Instance_1fea17,HAS_PRONOUN
Middle-aged (parents' gen) - Male - Neutral - Female spk,Instance_e3d6ec,HAS_PRONOUN
Middle-aged (parents' gen) - Male - Neutral - Female spk,Instance_65e39f,HAS_PRONOUN
Middle-aged (parents' gen) - Male - Neutral - Female spk,Instance_d5e856,HAS_PRONOUN
Middle-aged (parents' gen) - Male - Neutral - Female spk,Instance_b6d436,HAS_PRONOUN
Middle-aged (parents' gen) - Female - Neutral - Male spk,Instance_7915e7,HAS_PRONOUN
Middle-aged (parents' gen) - Female - Neutral - Male spk,Instance_feca08,HAS_PRONOUN
Middle-aged (parents' gen) - Female - Neutral - Male spk,Instance_39a789,HAS_PRONOUN
Middle-aged (parents' gen) - Female - Neutral - Male spk,Instance_19772c,HAS_PRONOUN
Middle-aged (parents' gen) - Female - Neutral - Male spk,Instance_e3d6ec,HAS_PRONOUN
Middle-aged (parents' gen) - Female - Neutral - Male spk,Instance_5f7bd3,HAS_PRONOUN
Middle-aged (parents' gen) - Female - Neutral - Male spk,Instance_48a892,HAS_PRONOUN
Middle-aged (parents' gen) - Female - Neutral - Male spk,Instance_b6d436,HAS_PRONOUN
Middle-aged (parents' gen) - Female - Neutral - Female spk,Instance_7915e7,HAS_PRONOUN
Middle-aged (parents' gen) - Female - Neutral - Female spk,Instance_feca08,HAS_PRONOUN
Middle-aged (parents' gen) - Female - Neutral - Female spk,Instance_39a789,HAS_PRONOUN
Middle-aged (parents' gen) - Female - Neutral - Female spk,Instance_19772c,HAS_PRONOUN
Middle-aged (parents' gen) - Female - Neutral - Female spk,Instance_e3d6ec,HAS_PRONOUN
Middle-aged (parents' gen) - Female - Neutral - Female spk,Instance_5f7bd3,HAS_PRONOUN
Middle-aged (parents' gen) - Female - Neutral - Female spk,Instance_48a892,HAS_PRONOUN
Middle-aged (parents' gen) - Female - Neutral - Female spk,Instance_b6d436,HAS_PRONOUN
Senior (grandparents' gen) - Male - Neutral - Male spk,Instance_25d25b,HAS_PRONOUN
Senior (grandparents' gen) - Male - Neutral - Male spk,Instance_6c881d,HAS_PRONOUN
Senior (grandparents' gen) - Male - Neutral - Male spk,Instance_5bc21d,HAS_PRONOUN
Senior (grandparents' gen) - Male - Neutral - Male spk,Instance_3b71af,HAS_PRONOUN
Senior (grandparents' gen) - Male - Neutral - Male spk,Instance_3b2389,HAS_PRONOUN
Senior (grandparents' gen) - Male - Neutral - Female spk,Instance_25d25b,HAS_PRONOUN
Senior (grandparents' gen) - Male - Neutral - Female spk,Instance_6c881d,HAS_PRONOUN
Senior (grandparents' gen) - Male - Neutral - Female spk,Instance_5bc21d,HAS_PRONOUN
Senior (grandparents' gen) - Male - Neutral - Female spk,Instance_3b71af,HAS_PRONOUN
Senior (grandparents' gen) - Male - Neutral - Female spk,Instance_3b2389,HAS_PRONOUN
Senior (grandparents' gen) - Female - Neutral - Male spk,Instance_48cb8f,HAS_PRONOUN
Senior (grandparents' gen) - Female - Neutral - Male spk,Instance_240661,HAS_PRONOUN
Senior (grandparents' gen) - Female - Neutral - Male spk,Instance_132d08,HAS_PRONOUN
Senior (grandparents' gen) - Female - Neutral - Male spk,Instance_3b71af,HAS_PRONOUN
Senior (grandparents' gen) - Female - Neutral - Male spk,Instance_edf791,HAS_PRONOUN
Senior (grandparents' gen) - Female - Neutral - Female spk,Instance_48cb8f,HAS_PRONOUN
Senior (grandparents' gen) - Female - Neutral - Female spk,Instance_240661,HAS_PRONOUN
Senior (grandparents' gen) - Female - Neutral - Female spk,Instance_132d08,HAS_PRONOUN
Senior (grandparents' gen) - Female - Neutral - Female spk,Instance_3b71af,HAS_PRONOUN
Senior (grandparents' gen) - Female - Neutral - Female spk,Instance_edf791,HAS_PRONOUN
